DATE,SFXRSA
2017-04-01,236.14646115697602
2017-05-01,237.70252779803397
2017-06-01,239.300894031176
2017-07-01,241.02034025324403
2017-08-01,242.241594280705
2017-09-01,244.822614847767
2017-10-01,248.15610509716
2017-11-01,252.305713192812
2017-12-01,255.21117863041698
2018-01-01,258.441990534803
2018-02-01,260.020740147253
2018-03-01,261.491098605796
2018-04-01,261.655428506508
2018-05-01,263.868511610182
2018-06-01,265.202693404142
2018-07-01,267.181112400048
2018-08-01,267.77423704267
2018-09-01,268.878483330606
2018-10-01,267.58927922111
2018-11-01,266.125759005048
2018-12-01,263.855080270988
2019-01-01,262.64662499970797
2019-02-01,262.97094909375
2019-03-01,263.957189011023
2019-04-01,266.244732246826
2019-05-01,266.659581616862
2019-06-01,267.326381252513
2019-07-01,267.644802720153
2019-08-01,267.741902950384
2019-09-01,266.834025510756
2019-10-01,266.481626706838
2019-11-01,267.4156461959
2019-12-01,269.414082196189
2020-01-01,270.660319128436
2020-02-01,272.45468976161703
2020-03-01,273.614829771791
2020-04-01,273.422775342665
2020-05-01,272.791515628041
2020-06-01,271.655573898313
2020-07-01,275.102366931537
2020-08-01,279.265167231608
2020-09-01,283.71532512636503
2020-10-01,287.81004613558997
2020-11-01,290.687324995702
2020-12-01,293.636828040102
2021-01-01,297.883457300918
2021-02-01,302.389467312646
2021-03-01,306.820784734055
